title,sentiment
Forget Snowflake: 3 Hypergrowth Stocks I'd Rather Buy,0
The 4 Fastest-Growing Stocks Robinhood Investors Are Buying,0
Square (SQ) Stock Moves -0.43%: What You Should Know,0
Coronavirus Speeds Shift To Digital Payments To Keep Shoppers Safe,1
Why Square Stock Slumped 5% Today,0
Talking Squarely: Square's New Podcast Follows the Changes and Challenges Facing Businesses Today,1
How to Find Insider Ownership of Foreign Companies,0
"Got $5,000? These Stocks Should Be Surefire Winners Over the Next Decade",1
Square Launches On-Demand Pay Tools; Shares Pop 7%,1
Why Square Stock Jumped Today,0
"Markets Slide into Green; FedEx, Adobe Beat Estimates",0
Square Says Pandemic Has Accelerated Digital Economy as More Go Cashless,0
"Nasdaq Soars 180 Points, Led By Tesla, Netflix, Qualcomm; Is A Big Quarter In Store For Adobe?",0
Why Tesla would be one of the biggest EV pure play winners if Biden gets elected: Analyst,1
US STOCKS-Wall Street rises as hopes rise for U.S. fiscal stimulus,1
Tesla manager overseeing Berlin gigafactory construction departs: source,0
Automakers are 'going to get wiped out by Tesla if they dont go all-in on EVs: Expert,0
India's richest state invites Tesla after Musk hints entry into country,1
India's richest state invites Tesla after Musk hints entry into country,1
Dow Jones Pares Early Losses; Tesla Pops On Earnings While Chipotle Drops,0
"After release of Tesla's 'Full Self-Driving' beta, Elon Musk promises roughly $2,000 price hike",1
US STOCKS-Wall St dips in choppy trade as investors look for stimulus,0
"Tesla, IBD Stock Of The Day, Nears Buy Point After Earnings Double",0
Auto safety regulator will not hesitate to act if new Tesla autopilot is unsafe,1
Lucid Motors CEO on why Tesla isn't its main competitor,0
Teslas competition is coming from all angles: Analyst,0
"Strong quarter for Tesla, both bulls and bears agree",1
"Dow Jones Reverses Higher On Pelosi Stimulus Comments; Tesla Surges, While Align Soars 36% On Earnings",0
Why Tesla Stock Jumped on Thursday,0
Here's the Bottom Line on Tesla,0
"Tesla, AT&T, Coca-Cola see big third quarter",0
US STOCKS-Wall St drops in choppy trade as investors look for stimulus,0
ETFs to Surge on Tesla's Blowout Q3,0
Here's why Tesla 'as an electric vehicle pure play' would win under a Biden administration: analyst,1
Tesla's release of new 'self-driving' software closely watched by U.S. regulator,0
"Tesla Is Not a Trade, It's an Investment",0
Tesla's release of new 'self-driving' software closely watched by U.S. regulator,0
US STOCKS-Wall St edges higher as investors cling to stimulus hopes,1
"Dow Jones Today, Stocks Climb As Jobless Claims Improve; Tesla, Align Technology Lead",1
Tesla upgraded at JMP Securities on margin expectations,1
"Tesla Shares Jump After Q3 Earnings Beat, 2020 Delivery Target",1
"Tesla (TSLA) Q3 Earnings Beat, '20 Delivery Target Intact",1
Morning Bell With Jim Cramer: Tesla Outsmarts General Motors,0
US STOCKS-Futures slip as labor market recovery slows,0
Dow Jones Futures: Tesla Leads Earnings Movers; Stock Market Rally Needs A Win With Stimulus Talks In Focus,1
"Tesla, Align Technology, and the Lessons of Another Covid Earnings Season",0
"Tesla, AT&T, McAfee and Quibi - 5 Things You Must Know Thursday",0
Auto startups chasing Tesla race past red flags to go public,0
Auto startups chasing Tesla race past red flags to go public,0
"Dow Jones Futures: Tesla Jumps, Leads Key Earnings Movers With Stock Market Rally At Key Point",0
"Dow Jones Futures Pare Losses Amid Election Interference, Stimulus Concerns; Tesla Rises On Earnings",0
"Tesla is a must own stock, says Wall Street analyst who returns to bullish stance after start-of-year downgrade",0
Tesla (TSLA) Q3 2020 Earnings Call Transcript,0
Tesla 3Q Profit Blows Past Estimates; Street Says Hold,1
GM sells out first year of electric Hummer production,0
Tesla plays smoke and mirrors with profits again,1
Tesla Gains After Reporting Strong Cash Flows: 7 Key Takeaways,1
This former Tesla CIO just raised $150 million more to pull car dealers into the 21st century,0
"Tesla Beats on Profit, Reaffirms Goal of 500,000 Deliveries",1
"Dow Jones Futures: Tesla Rises On Earnings, But These 2 Stocks Signal Breakouts; Market Rally Lacks Stimulus",0
Tesla stock higher after best quarter ever for the Silicon Valley car maker,1
GMC Hummer EV Vs. Tesla Cybertruck: How Does GM's New Beast Stack Up?,0
Tesla shrugs off pandemic as sales hit new record,0
"Tesla is a chain of startups, Elon Musk explains",0
GM sells out first year of electric Hummer production,0
GM sells out first year of electric Hummer production,0
Tesla Earnings: What Happened With TSLA,0
Tesla (TSLA) Tops Q3 Earnings and Revenue Estimates,1
"Tesla (TSLA) Posts 5th Straight Quarter of Profit; Plus CMG, CSX, WHR Beat",1
Watch the Tesla Q3 Earnings Call Webcast,0
Tesla scores a profit for the fifth straight quarter,1
Tesla Beats With 5th Straight Quarter Of Profits; Musk Sees Production Improvements,1
"Tesla Q3 reports 'fantastic, but valuation comes from autonomous: analyst",0
Dow Drops 100 Points As Stocks Sell Off Late; Tesla Cruises After Hours,0
"Tesla tops Q3 estimates, targets 500K deliveries by end of 2020",1
"Tesla blows away estimates as deliveries ramp up, targeting 500K by year's end amid coronavirus",0
"General Motors announces the worlds first super truck, Hummer EV",1
"Tesla Tops Q3 Estimates, Reports Record Operating Income",1
US STOCKS-S&P ends choppy session lower as U.S. stimulus talks drag on,0
Tesla Inc. stock outperforms market on strong trading day,1
Tesla wows on latest numbers,1
"Tesla cracks revenue record and beats estimates, shares take off",1
Tesla Releases Third Quarter 2020 Financial Results,0
Nikola Stock Jumps As GM Backs Electric Truck Deal While Talks Continue,0
"GM Reveals The Hummer EV, Its Answer To Tesla's Cybertruck",0
Dow Jones Rises As Trump Seeks Stimulus Deal; Tesla Stock Revs Up For Earnings,0
How Have Hedge Funds Been Trading Tesla Inc. (TSLA) Recently?,0
"Dow Jones Sheds Early Gains; PayPal Breaks Out, Tesla Awaits Earnings, Snap Soars",1
"Dow Jones Erases 142 Point Gain Amid Coronavirus Stimulus Talks; Tesla Earnings Due, As Snap Soars 36% On Earnings",1
Explainer: Tesla's self-driving ambitions get a reboot,0
EXPLAINER-Tesla's self-driving ambitions get a reboot,0
Tesla and Heinz Hit Brexit Snag When Customs Capacity Runs Out,0
What to expect from Tesla's Q3 earnings,0
"General Motors' New Electric Hummer Is a 1,000-Horsepower Tesla Fighter",1
"Verizon (VZ), Abbott (ABT), Thermo Fisher (TMO) Report Q3; Tesla (TSLA) After the Bell",0
Earnings Data Deluge,0
"The Zacks Analyst Blog Highlights: Tesla, General Motors, Google, Ford and Apple",0
Tesla's stock in danger of extending longest losing streak in 7 months ahead of earnings,0
Tesla's Nickel Hunt Puts the Spotlight on These 3 Miners,0
"Dow Jones Futures Signal Modest Losses On Stimulus News; Netflix Dives, While Snap Rockets 24% On Earnings",0
Ex-Tesla CIOs Auto Retail Startup Turns Unicorn in New Funding,0
"Netflix, Tesla, Snap and Stimulus - 5 Things You Must Know Wednesday",0
Teslas Earnings Will Be Dramatic. How to Play It With Stock Options.,1
Tesla supplier LG Chem to boost battery capacity,1
Can Tesla hit 2020 delivery goal? Investors watch for Musk steer,0
"Tesla Rolls Out Full Self-Driving Beta Version, With A 'Slow' And 'Cautious' Approach",0
"GMC reveals the Hummer EV: 1,000 HP, 350-mile range and 0-60 in 'around 3 seconds'",0
GM to launch all-electric hummer Tuesday night,0
Will Tesla maintain its 2020 delivery goal of 500K?,0
Tesla Inc. stock underperforms Tuesday when compared to competitors,0
Can Tesla hit 2020 delivery goal? Investors watch for Musk steer,0
Can Tesla hit 2020 delivery goal? Investors watch for Musk steer,0
Tesla analysts hope for Musk sign on 2020 delivery goal during third-quarter call,1
Understanding Workhorse Group's Unusual Options Activity,0
"Tesla's stock falls again ahead of earnings, is in danger of longest losing streak in 7 months",0
Taking Workhorse Stock Profit Quickly Kept The Trade Positive,1
Workhorse Stock Could Skyrocket on a U.S. Postal Service Contract,0
Workhouse Has a Tall Order to Climb,0
New Allegations Make Workhorse Even More Unappealing,0
Workhorse Closes $200 Million Financing from Institutional Lenders,0
Workhorse Group Inc. (NASDAQ:WKHS) Is Expected To Breakeven In The Near Future,0
Workhorse Says California Names One of Its Trucks as Zero-Emission Vehicle,0
Workhorse Receives Additional Executive Order From the California Air Resources Board for its C-1000 Extended Range Electric Truck,0
"A Look At Workhorse Options Activity Amid USPS Delay, Roth Downgrade",0
DiamondPeak Stock Drops on Workhorse News. Its a Strange Reaction.,0
Workhorse Downgraded on Concerns Over Postal Service Contract Timing,0
"Nio's stock set to pull back, but some other EV maker shares get a boost from upbeat China auto sales data",1
Workhorse Secures $200M Financing To Boost Production; Shares Up 774% YTD,1
Workhorse Gets $200 Million To Advance Electric Van Production,0
"Nasdaq Soars as Amazon Looks for Prime Win, Workhorse Raises Cash",1
Workhorse Stock Trades Higher After Receiving $200M In Convertible Note Financing,0
Workhorse (WKHS) Upgraded to Buy: What Does It Mean for the Stock?,0
"Workhorse, Electric Truck Maker, to Sell $200 Million of Notes",0
Workhorse's stock gains as company secures $200 million in financing through convertible notes,1
Workhorse Secures $200 Million Financing from Institutional Lenders,1
"4 Top Stock Trades for Monday: MSFT, WKHS, T, DPZ",1
Why Workhorse Stock Is Flying Today,0
These 2 Big Reasons Make Workhorse an Enduring Buy,0
Analyzing Workhorse Group's Unusual Options Activity,0
Workhorse Short Seller Says USPS Bid Unlikely To Pan Out,0
Workhorse Shares Shrug Off Short-Seller Reports Allegations,1
Workhorse Group (WKHS) Gains But Lags Market: What You Should Know,0
Top Electric Car Stocks for Q4 2020,1
Has Workhorse Group (WKHS) Outpaced Other Auto-Tires-Trucks Stocks This Year?,0
Workhorse Group (WKHS) Stock Sinks As Market Gains: What You Should Know,1
3 Stocks Robinhood Investors Love,1
Why Workhorse Group Stock Is Higher Today,0
"Forget Tesla's Battery Day, These EV Stories Are More Important",1
Hedge Fund Bets on Lithium Miner After Big Electric Vehicle Win,1
A Beautiful Buying Opportunity in Workhorse Has Finally Arrived,1
Why Workhorse Group Stock Still Has Plenty of Horsepower,0
Dont Jump the Gun on Spartan Energy,1
"Workhorse Stock Is Hot, Hot, Hot!",0
Workhorse C-Series All-Electric Delivery Trucks Achieve Premium Range For Last-Mile Delivery,0
"This EV Startup Is Going Public. Unlike Nikola, It Has Sales.",0
"This EV Startup Is Going Public. Unlike Nikola, It Has Sales.",0
Tesla Stock Stumbles and the Rest of the Electric-Vehicle Industry Follows,0
Why Shares of Workhorse Group and DiamondPeak Holdings Dropped on Wednesday,1
"Electric Vehicles, E-Commerce Deliveries, & Diesel Innovations: CEOs of UPS, dynaCERT, Workhorse Group, and Caterpillar Discuss Keeping The World Moving",0
Workhorse Group (WKHS) Stock Moves -1.09%: What You Should Know,0
Top Car Stocks for Q4 2020,1
Nikola Stock Drops After Founder Steps Down. Heres What Comes Next.,0
Heres the Latest Electric-Truck Company to Go Public,0
How Far Can Workhorse Stock Rally From Here?,0
Implied Volatility Surging for Workhorse (WKHS) Stock Options,0
Understanding Workhorse Group's Unusual Options Activity,0
3 Electric Vehicle Stocks to Buy Now Before They Surge,0
How Self-Serving Management Can Still Save Workhorse Stock From $0,1
"As Energy Investments Go, Marathon Cant Finish the Race",1
"Workhorse Group Has No Gas In Its Tank, But Could Still Be Electric",0
Unusual Options Activity Insight: Workhorse Group,0
When and Why Workhorse Stock Is Worth Buying,1
Electric Vehicle Makers Strike Gold as Tesla Falters,0
Workhorse (WKHS) in Focus: Stock Moves 8.5% Higher,0
"Tesla's stock bounces, as part of broad gains in EV makers",1
3 Electric Vehicle Stocks That Are Better Than Tesla,1
"9th Annual Gateway Conference to Feature Electric Vehicle and Mobility Panel on Wednesday, September 9th, 2020 at 2:30 p.m. ET",0
These 3 Stocks Are Absurdly Overvalued Right Now,0
Why Shares of Workhorse Group Climbed in August,1
"Workhorse Has The Edge Among EV Delivery Trucks, Oppenheimer Says",0
Workhorse Is Becoming Wall Streets Favorite Electric-Vehicle Stock,1
"Benzinga's Top Upgrades, Downgrades For September 3, 2020",1
"Tesla's stock pullback weigh on other EV makers, with less effect",0
Why Nikola and Workhorse Group Stocks Are Down Today,0
"Tesla analyst is bullish on what the company is doing with its high-priced stock, raises price target to $550",0
"Nio, other EV maker stocks fall as Tesla extends pullback",1
Workhorse Sets September 2020 Financial Conference Schedule,0
"Tesla's stock keeps rising, after soaring 74% in August for biggest monthly gain in 7 years",1
(LD Micro) 360 Companies Set to Present - this Week,0
Workhorse Stock Is Higher Because the EV Start-up Has a Giant Partner,0
Why Workhorse Group Stock Is Rising Today,0
Workhorse Group Announces Deal With Hitachi to Support Growth Plan,1
Workhorse Shares Up After Reaching Accord With Hitachi,1
What Does Workhorse Group's Debt Look Like?,0
Workhorse's stock jumps after strategic agreements with Hitachi,1
Workhorse Enters into Strategic Agreements with Hitachi and Hitachi Capital America,1
Workhorse Group Needs to Find a Path to Profitability,1
Drones Are Supposed to Be The Future of Delivery. An Early Effort From Workhorse Gets Panned.,0
Another Analyst Weighs in on Nikola Stock. Why This One Is Cautious.,0
ROCE Insights For Workhorse Group,0
3 Stocks to Avoid This Week,0
"'Fast Money Halftime Report' Picks For August 18: Workhorse, Uber And More",0
Are Options Traders Betting on a Big Move in Workhorse (WKHS) Stock?,0
Consider Workhorse Stock A Cautious Buy on The Pullback,0
"The Daily Dash: Border Skirmish, Drone Delivery And Is It Time To Say Goodbye To Diesel?",0
Analyzing Workhorse Group's Unusual Options Activity,0
Workhorses Earnings Spooked the Market. Heres Why Analysts Are Still Positive.,1
"4 Top Stock Trades for Tuesday: MGM, AMZN, WKHS, NKLA",1
Workhorse Shares Fall After Report - Outlook Affirmed,1
"Workhorse Group (WKHS) Reports Q2 Loss, Misses Revenue Estimates",0
Workhorse Group Reports Second Quarter 2020 Results,0
What to Expect From Workhorse (WKHS) This Earnings Season?,0
Workhorse Group (WKHS) Stock Sinks As Market Gains: What You Should Know,1
SHAREHOLDER ALERT: NNOX NKLA GOCO: The Law Offices of Vincent Wong Reminds Investors of Important Class Action Deadlines,1
NKLA CLASS ACTION DEADLINE: Bernstein Liebhard Reminds Investors of the Deadline to File a Lead Plaintiff Motion in a Securities Class Action Lawsuit Against Nikola Corporation,1
NKLA CLASS ACTION DEADLINE: Bernstein Liebhard Reminds Investors of the Deadline to File a Lead Plaintiff Motion in a Securities Class Action Lawsuit Against Nikola Corporation,1
"NKLA ALERT: The Klein Law Firm Announces a Lead Plaintiff Deadline of November 16, 2020 in the Class Action Filed on Behalf of Nikola Corporation, f/k/a VectoIQ Acquisition Corp. Limited Shareholders",1
"NKLA Class Action Reminder: Bronstein, Gewirtz & Grossman, LLC Reminds Nikola Corporation Shareholders With Losses Exceeding $100K of Class Action and Encourages Shareholders to Contact the Firm",1
"CLASS ACTION UPDATE for FSLY, FENC and NKLA: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders",0
INVESTOR ACTION NOTICE: The Schall Law Firm Files Class Action Suit Against Nikola Corporation,0
"SHAREHOLDER ALERT BY FORMER LOUISIANA ATTORNEY GENERAL: KSF REMINDS COTY, GOCO, NKLA INVESTORS of Lead Plaintiff Deadline in Class Action Lawsuits",1
"LAWSUITS FILED AGAINST NNOX, NKLA and ACB - Jakubowitz Law Pursues Shareholders Claims",0
"HAGENS BERMAN, NATIONAL TRIAL ATTORNEYS, Encourages Nikola (NKLA) Investors with $200k+ Losses to Contact Its Attorneys, Deadline Approaching in Securities Fraud Class Action",0
Tesla Earnings: What Happened With TSLA,0
SHAREHOLDER ALERT: Pomerantz Law Firm Reminds Shareholders with Losses on their Investment in Nikola Corporation of Class Action Lawsuit and Upcoming Deadline  NKLA,0
Nikola Stock Jumps As GM Backs Electric Truck Deal While Talks Continue,0
"GM Reveals The Hummer EV, Its Answer To Tesla's Cybertruck",0
"Bragar Eagel & Squire, P.C. Reminds Investors That Class Action Lawsuits Have Been Filed Against Colony Credit Real Estate, Gol Linhas Aereas Inteligentes, Nikola, and Nano-X Imaging and Encourages Investors to Contact the Firm",1
"SHAREHOLDER ALERT: Levi & Korsinsky, LLP Notifies Shareholders of Nikola Corporation, f/k/a VectoIQ Acquisition Corp. of a Class Action Lawsuit and a Lead Plaintiff Deadline of November 16, 2020 - NKLA",1
NKLA INVESTOR DEADLINE: Bernstein Liebhard Reminds Investors of the Deadline to File a Lead Plaintiff Motion in a Securities Class Action Lawsuit Against Nikola Corporation,1
"NKLA DEADLINE: ROSEN LAW, FIRST FILING AND TOP RANKED FIRM, Encourages  Nikola Investors to Contact Firm Before Important Deadline in Securities Class Action Seeking Recovery of Investor Losses - NKLA, NKLAW, VTIQ, VTIQW, VTIQU",1
NIKOLA INVESTOR ALERT: Shareholder Lawsuit Filed,1
"NKLA ALERT: The Klein Law Firm Announces a Lead Plaintiff Deadline of November 16, 2020 in the Class Action Filed on Behalf of Nikola Corporation, f/k/a VectoIQ Acquisition Corp. Limited Shareholders",1
DEADLINE ALERT for NKLA and NNOX: The Law Offices of Frank R. Cruz Reminds Investors of Class Actions on Behalf of Shareholders,1
"IMPORTANT NOTICE FROM FIRM THAT FILED THE LAWSUIT: The Schall Law Firm Announces the Filing of a Class Action Lawsuit Against Nikola Corporation and Encourages Investors with Losses in Excess of $500,000 to Contact the Firm",0
Nikola's stock surges after GM president said on CNBC he sees 'spectacular' opportunity in partnership,1
"FILING DEADLINE--Kuznicki Law PLLC Announces Class Actions on Behalf of Shareholders of COTY, GOCO and NKLA",0
"CLASS ACTION UPDATE for NKLA, GOCO and BMRN: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders",0
"GOCO, NKLA, NNOX SHAREHOLDER ALERT: Hagens Berman, National Trial Attorneys, Updates GOCO, NKLA, NNOX Investors, Encourages Investors with Losses to Contact Firm, Reminds of Critical Upcoming Deadlines",1
NIKOLA CORPORATION  CLASS ACTION ALERT: Wolf Haldenstein Adler Freeman & Herz LLP reminds investors that a  securities  class  action  lawsuit  has  been  filed  in  the  United States District Court for the District of Arizona against Nikola Corporation,1
"SHAREHOLDER ALERT: Levi & Korsinsky, LLP Notifies Shareholders of Nikola Corporation, f/k/a VectoIQ Acquisition Corp. of a Class Action Lawsuit and a Lead Plaintiff Deadline of November 16, 2020 - NKLA",1
NKLA INVESTOR DEADLINE: Bernstein Liebhard Reminds Investors of the Deadline to File a Lead Plaintiff Motion in a Securities Class Action Lawsuit Against Nikola Corporation,1
"ALERT FROM FIRM THAT FILED THE LAWSUIT: The Schall Law Firm Announces the Filing of a Class Action Lawsuit Against Nikola Corporation and Encourages Investors with Losses in Excess of $500,000 to Contact the Firm",0
SHAREHOLDER ALERT: NNOX NKLA RCL: The Law Offices of Vincent Wong Reminds Investors of Important Class Action Deadlines,1
"NKLA Class Action Reminder: Bronstein, Gewirtz & Grossman, LLC Reminds Nikola Corporation Shareholders With Losses Exceeding $100K of Class Action and Encourages Shareholders to Contact the Firm",1
How Nikola Makes Money: hydrogen-electric trucks and sports vehicles.,0
INVESTOR ACTION REMINDER: The Schall Law Firm Files Class Action Suit Against Nikola Corporation,0
More EV Companies Are Coming to Market. None of Them Have Any Real Revenue.,0
"After a Banner Year for IPOs, Here Are the 10 Largest Unicorns Left in the Private Market",0
"Tesla's stock falls again ahead of earnings, is in danger of longest losing streak in 7 months",0
"The Klein Law Firm Reminds Investors of Class Actions on Behalf of Shareholders of PROG, NKLA and TCMD",0
NKLA INVESTOR ALERT: Bernstein Liebhard Reminds Investors of the Deadline to File a Lead Plaintiff Motion in a Securities Class Action Lawsuit Against Nikola Corporation,1
"NIKOLA INVESTORS: November 16, 2020 Filing Deadline in Class Action  Contact Lieff Cabraser",0
Lawsuit for Investors in Nikola Corporation (NASDAQ: NKLA) announced by Shareholders Foundation,0
"SHAREHOLDER ALERT: CLAIMSFILER REMINDS COTY, GOCO, NKLA INVESTORS of Lead Plaintiff Deadline in Class Action Lawsuits",1
SHAREHOLDER ALERT:   Pomerantz Law Firm Reminds Shareholders with Losses on their Investment in Nikola Corporation of Class Action Lawsuit and Upcoming Deadline   NKLA,0
"Nikola Deadline Alert: Faruqi & Faruqi, LLP Encourages Investors Who Suffered Losses Exceeding $500,000 In Nikola Corporation To Contact The Firm",0
"HAGENS BERMAN, NATIONAL TRIAL ATTORNEYS, Updates GOCO, NKLA, NNOX Investors, Encourages Investors with Losses to Contact Firm, Reminds of Critical Upcoming Deadlines",0
"Nikola Corporation to Announce Third Quarter 2020 Financial Results on November 9, 2020",0
Tesla's Shift On Model 3 In Europe Signals Upside And Weakness,0
"LAWSUITS FILED AGAINST AYX, NKLA and MESO - Jakubowitz Law Pursues Shareholders Claims",0
"Kessler Topaz Meltzer & Check, LLP:  Securities Fraud Class Action Filed Against Nikola Corporation - NKLA, NKLAW",0
"NKLA Stock: Berger Montague Expands Investigation into Alleged Securities Fraud Claims Against Nikola Corporation (NKLA); Lead Plaintiff Deadline is November 16, 2020",0
"NKLA ALERT: The Klein Law Firm Announces a Lead Plaintiff Deadline of November 16, 2020 in the Class Action Filed on Behalf of Nikola Corporation, f/k/a VectoIQ Acquisition Corp. Limited Shareholders",1
"Stocks on the Move: Nikola stocks up on analyst 'buy' rating, Airline stocks up on TSA traveler topping 1M",0
"DEADLINE ALERT for GOL, NKLA, NNOX, FLDM: Law Offices of Howard G. Smith Reminds Investors of Class Actions on Behalf of Shareholders",1
"SHAREHOLDER ALERT: Levi & Korsinsky, LLP Notifies Shareholders of Nikola Corporation, f/k/a VectoIQ Acquisition Corp. of a Class Action Lawsuit and a Lead Plaintiff Deadline of November 16, 2020 - NKLA",1
INVESTOR ACTION ALERT: The Schall Law Firm Files Class Action Suit Against Nikola Corporation,1
"Nikola stock extends selloff, but J.P. Morgan said GM partnership still likely",1
"The Gross Law Firm Announces Class Actions on Behalf of Shareholders of NKLA, GOCO and LOOP",0
US Leads Global IPO Boom,0
"NOTICE FROM FIRM THAT FILED THE LAWSUIT: The Schall Law Firm Announces the Filing of a Class Action Lawsuit Against Nikola Corporation and Encourages Investors with Losses in Excess of $500,000 to Contact the Firm",0
"ROSEN Reminds Nikola Corporation Investors of Important November 16 Deadline in First Filed Securities Class Action Commenced by the Firm; Encourages Investors with Losses in Excess of $500K to Contact Firm - NKLA, NKLAW, VTIQ, VTIQW, VTIQU",1
SHAREHOLDER ALERT:   Pomerantz Law Firm Reminds Shareholders with Losses on their Investment in Nikola Corporation of Class Action Lawsuit and Upcoming Deadline -  NKLA,0
"NKLA SHAREHOLDER ALERT BY FORMER LOUISIANA ATTORNEY GENERAL: Kahn Swick & Foti, LLC Reminds Investors with Losses in Excess of $100,000 of Lead Plaintiff Deadline in Class Action Lawsuits Against Nikola Corporation - NKLA",0
